,tweet_id,retweets,likes
73,878316110768087041,6797,0
74,878281511006478336,1318,7819
75,878057613040115712,6986,42333
76,877736472329191424,19567,80512
77,877611172832227328,81,0
78,877556246731214848,3908,22958
79,877316821321428993,5292,27542
80,877201837425926144,5713,27339
81,876838120628539392,3435,20833
82,876537666061221889,4699,23593
83,876484053909872640,2459,18913
84,876120275196170240,4793,28104
85,875747767867523072,4388,25394
86,875144289856114688,5026,22081
87,875097192612077568,6181,27616
88,875021211251597312,4809,25683
89,874680097055178752,4751,28079
90,874434818259525634,15139,0
91,874296783580663808,4216,26277
92,874057562936811520,4048,22828
93,874012996292530176,10733,35016
94,873580283840344065,4041,24485
95,873337748698140672,1627,0
96,873213775632977920,1627,7348
97,872967104147763200,5545,27652
98,872820683541237760,3792,14853
99,872668790621863937,30,0
100,872620804844003328,3805,21014
101,872486979161796608,9229,41060
102,872261713294495745,6510,34610
103,872122724285648897,8352,34847
104,871879754684805121,11581,38550
105,871762521631449091,3581,20509
106,871515927908634625,3552,20466
107,871166179821445120,5860,0
108,871102520638267392,5645,21173
109,871032628920680449,3910,22957
110,870804317367881728,6423,34105
111,870726314365509632,3,120
112,870656317836468226,2741,12624
113,870374049280663552,27087,83871
114,870308999962521604,4288,22153
115,870063196459192321,8628,37239
116,869772420881756160,10409,43086
117,869702957897576449,6548,28710
118,869596645499047938,3247,16253
119,869227993411051520,3932,20805
120,868880397819494401,15038,66813
121,868639477480148993,2178,0
122,868622495443632128,6145,27883
123,868552278524837888,2178,10371
124,867900495410671616,4346,24631
125,867774946302451713,7619,34661
126,867421006826221569,2629,16501
127,867072653475098625,131,0
128,867051520902168576,8225,32932
129,866720684873056260,5045,20569
130,866686824827068416,3642,19789
131,866450705531457537,36792,124809
132,866334964761202691,15139,53878
133,866094527597207552,8731,0
134,865718153858494464,5863,26234
135,865359393868664832,5244,27141
136,865006731092295680,8040,28698
137,864873206498414592,9159,33165
138,864279568663928832,3198,14990
139,864197398364647424,9405,30981
140,863907417377173506,4346,21178
141,863553081350529029,4377,15696
142,863471782782697472,2608,0
143,863432100342583297,5547,24444
144,863427515083354112,102,2325
145,863079547188785154,1157,8989
146,863062471531167744,2608,8793
147,862831371563274240,5333,19716
148,862722525377298433,3721,17549
149,862457590147678208,5235,21164
150,862096992088072192,24554,76844
151,861383897657036800,11283,37181
152,861288531465048066,4395,17721
153,861005113778896900,4021,17250
154,860981674716409858,2279,0
155,860924035999428608,862,0
156,860563773140209665,2279,7741
157,860524505164394496,5571,24366
158,860276583193509888,3670,18897
159,860184849394610176,6179,17220
160,860177593139703809,32656,0
161,859924526012018688,4261,19736
162,859851578198683649,3711,15893
163,859607811541651456,1668,19207
164,859196978902773760,32082,93045
165,859074603037188101,14436,35080
166,858860390427611136,8613,0
167,858843525470990336,3685,16083
168,858471635011153920,5146,22276
169,858107933456039936,3092,16292
170,857989990357356544,2750,16714
171,857746408056729600,11276,35501
172,857393404942143489,1738,6135
173,857263160327368704,4823,20721
174,857214891891077121,20,239
175,857062103051644929,180,0
176,857029823797047296,4267,19632
177,856602993587888130,11392,0
178,856543823941562368,3071,16919
179,856526610513747968,2011,12284
180,856330835276025856,722,0
181,856288084350160898,17,533
182,856282028240666624,6731,28728
183,855862651834028034,28,362
184,855860136149123072,1104,5059
185,855857698524602368,2266,12315
186,855851453814013952,18853,47225
187,855818117272018944,5822,27678
188,855459453768019968,8823,31218
189,855245323840757760,6418,0
190,855138241867124737,49,0
191,854732716440526848,6547,23840
192,854482394044301312,7407,30660
193,854365224396361728,5054,19744
194,854120357044912130,8092,33393
195,854010172552949760,3378,16911
196,853760880890318849,6255,29977
197,853639147608842240,10994,36618
198,853299958564483072,3850,16289
199,852936405516943360,2186,0
200,852912242202992640,1994,9484
201,852672615818899456,2325,15683
